date,compound,volume,BTC,Rf,BTC_volume,BTC_dev,BITSI,BITSI_dev,cRf,predictions
2021-10-02,622.837,8528,47711.48828125,1.00000246575,30614346492.0,3759.7025669642826,622.837,-4.597228571428559,1.0000024646441166,12791123.289987216
2021-10-03,628.9473,8797,48199.953125,1.00000246575,26638115879.0,3535.1082589285725,628.9473,-32.59511428571432,1.0000024646441166,11864613.10534972
2021-10-04,914.3294,14062,49112.90234375,1.00000246575,33383173002.0,3465.6043526785725,914.3294,193.65845714285703,1.0000024646441166,9410416.677767303
2021-10-05,1224.0571,15342,51514.8125,1.00000246575,35873904236.0,4370.333147321428,1224.0571,402.1956285714285,1.0000024646441166,8893099.841491902
2021-10-06,1630.4179,20648,55361.44921875,1.00000273973,49034730168.0,6245.957589285717,1630.4179,660.7469857142855,1.000002738364795,12260507.491615314
2021-10-07,871.5769,12103,53805.984375,1.00000273973,36807860413.0,3259.765625,871.5769,-133.6583571428572,1.000002738364795,23179878.141516186
2021-10-08,888.4141,11135,53967.84765625,1.00000246575,34800873924.0,2585.78515625,888.4141,-80.24014285714293,1.0000024646441166,12767380.959140966
2021-10-09,699.3524,8728,54968.22265625,1.00000246575,32491211414.0,2549.4838169642826,699.3524,-280.2326142857144,1.0000024646441166,5985053.209509596
2021-10-10,605.6523,9578,54771.578125,1.00000246575,39527792364.0,1414.0357142857174,605.6523,-370.6048571428571,1.0000024646441166,5220638.407674594
2021-10-11,984.4001,14154,57484.7890625,1.00000246575,42637331698.0,2931.2628348214275,984.4001,-1.8671571428571951,1.0000024646441166,3008801.2857839875
2021-10-12,729.4892,12033,56041.05859375,1.00000273973,41083758949.0,840.92578125,729.4892,-186.1255,1.000002738364795,5437722.251247957
2021-10-13,742.3546,11200,57401.09765625,1.0000030137,41684252783.0,1909.5864955357172,742.3546,-46.393914285714345,1.000003012048215,2745197.5639743702
2021-10-14,855.6457,12112,57321.5234375,1.00000273973,36615791366.0,1327.7924107142826,855.6457,69.17307142857146,1.000002738364795,2819004.757267964
2021-10-15,2030.7377,26335,61593.94921875,1.00000328767,51780081801.0,4510.775111607145,2030.7377,1081.0759857142857,1.0000032857043732,2407689.166953407
2021-10-16,911.0035,11897,60892.1796875,1.00000328767,34250964237.0,2962.7260044642826,911.0035,-68.89408571428567,1.0000032857043732,11117669.30013402
2021-10-17,957.8645,11413,61553.6171875,1.00000328767,29032367511.0,2655.30078125,957.8645,-72.34911428571411,1.0000032857043732,8666529.041001381
2021-10-18,984.4092,13616,62026.078125,1.0000030137,38055562075.0,2479.006138392855,984.4092,-45.8057142857142,1.000003012048215,5845670.957970887
2021-10-19,1487.5093,20622,64261.9921875,1.0000030137,40471196346.0,3540.5011160714275,1487.5093,349.0057999999999,1.000003012048215,5110886.12607125
2021-10-20,3214.5104,33274,65992.8359375,1.00000273973,40788955582.0,4043.953683035717,3214.5104,1722.8417857142858,1.000002738364795,8061714.418113392
2021-10-21,1023.9397,15692,62210.171875,1.00000328767,45908121370.0,-437.08872767857247,1023.9397,-491.7709142857142,1.0000032857043732,11013186.700105859
2021-10-22,867.0384,12451,60692.265625,1.00000356164,38434082775.0,-1826.1830357142824,867.0384,-482.42945714285736,1.0000035593332754,3845792.85103753
2021-10-23,674.3409,9684,61393.6171875,1.00000356164,26882546034.0,-1196.4654017857174,674.3409,-641.3180142857142,1.0000035593332754,2656456.854656152
2021-10-24,573.4934,9574,60930.8359375,1.00000356164,27316183882.0,-1570.2779017857174,573.4934,-687.2553571428572,1.0000035593332754,2264097.516470268
2021-10-25,659.4198,10868,63039.82421875,1.00000383562,31064911614.0,393.88950892857247,659.4198,-554.9019000000002,1.0000038329449126,2445113.4792982787
2021-10-26,881.5699,11622,60363.79296875,1.00000383562,34878965587.0,-1725.256138392855,881.5699,-246.1890285714287,1.0000038329449126,1458497.077193295
2021-10-27,646.4734,12820,58482.38671875,1.00000328767,43657076893.0,-2533.7410714285725,646.4734,-114.42310000000008,1.0000032857043732,2467548.704578186
2021-10-28,828.6579,11880,60622.13671875,1.00000410959,45257083247.0,-167.12890625,828.6579,95.65880000000004,1.0000041065193173,4666873.846239019
2021-10-29,755.908,10037,62227.96484375,1.00000410959,36856881767.0,1219.3136160714275,755.908,38.78467142857141,1.0000041065193173,2094034.4649868412
2021-10-30,410.9762,8558,61888.83203125,1.00000410959,32157938616.0,809.4358258928551,410.9762,-268.5236,1.0000041065193173,1665255.649574655
2021-10-31,674.7822,9866,61318.95703125,1.00000410959,32241199927.0,184.1149553571449,674.7822,-19.187428571428427,1.0000041065193173,1508225.2500481247
2021-11-01,738.5225,10949,61004.40625,1.00000410959,36150572843.0,160.33816964285506,738.5225,33.252485714285626,1.0000041065193173,1075620.9244253072
2021-11-02,866.2711,12194,63226.40234375,1.00000410959,37746665647.0,1973.3900669642824,866.2711,163.18662857142863,1.0000041065193173,969225.2468353524
2021-11-03,698.6916,11493,62970.046875,1.00000465753,36124731509.0,1075.9402901785725,698.6916,-11.852614285714369,1.000004653586412,2826159.835928297
2021-11-04,674.0649,10869,61452.23046875,1.00000383562,32615846901.0,-560.4609375,674.0649,-14.394600000000082,1.0000038329449126,2158540.971619192
2021-11-05,769.5834,10808,61125.67578125,1.00000383562,30605102446.0,-729.5457589285725,769.5834,79.17027142857148,1.0000038329449126,1311444.6049076405
2021-11-06,599.3785,8985,61527.48046875,1.00000383562,29094934221.0,-276.11941964285506,599.3785,-117.94924285714274,1.0000038329449126,1286907.7025382537
2021-11-07,711.526,9337,63326.98828125,1.00000383562,24726754302.0,1236.5267857142826,711.526,-11.05085714285724,1.0000038329449126,1094008.4196811083
