,lower_bound,upper_bound
bias,[1.88 0.4  0.04],[1.94 0.76 2.  ]
fundamentalists,[2.81 0.61 0.07],[2.91 1.14 0.98]
LSTM,[1.87 0.46 0.01],[1.95 0.96 2.61]
