date,fundamental,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x12,y_ML,x11,x9,x10
2019-12-19,7663.929577636719,-0.0601630449085691,-0.05576712099926827,-0.1423182530406275,-0.11309098848740921,0.026080119601207853,0.02896471387517389,0.027483338586353063,1.00004164384,1.00004219178,1.00004191781,-0.05520191277041238,-0.05208756399956099,1,-0.049235962,0.009788095
2019-12-20,7618.011828613281,-0.0524015230409464,-0.060525679104832926,-0.0554756363790109,-0.1430239507934162,0.027404368055175644,0.025943803549347753,0.02910833799263719,1.00004164384,1.00004164384,1.00004219178,-0.05984858359185649,-0.0508908900466123,1,-0.03726958,-0.015181937
2019-12-21,7578.84609375,-0.05115388247077113,-0.052672322069250495,-0.0601630449085691,-0.05576712099926827,0.030076082451123465,0.02724017723351474,0.026080119601207853,1.00004164384,1.00004164384,1.00004164384,-0.05208756399956099,-0.004572648009885245,1,-0.035923462,-0.049235962
2019-12-22,7546.2442626953125,-0.004592403095024456,-0.05137488117900904,-0.0524015230409464,-0.060525679104832926,0.03526085172135165,0.029921455246872813,0.027404368055175644,1.00004164384,1.00004164384,1.00004164384,-0.0508908900466123,-0.020447255935743723,1,-0.03039052,-0.03726958
2019-12-23,7509.928405761719,-0.020546132993037286,-0.004614610637462857,-0.05115388247077113,-0.052672322069250495,0.03479421984895695,0.03510917053975173,0.030076082451123465,1.00004191781,1.00004164384,1.00004164384,-0.004572648009885245,-0.02034068881162982,1,0.0068986667,-0.035923462
2019-12-24,7475.289343261718,-0.020434943677051752,-0.020641339847541275,-0.004592403095024456,-0.05137488117900904,0.026545219975848716,0.03462677471119521,0.03526085172135165,1.00004191781,1.00004191781,1.00004164384,-0.020447255935743723,-0.022703157443854417,1,-0.00874797,-0.03039052
2019-12-25,7444.868432617188,-0.022795926138183834,-0.02051844409096129,-0.020546132993037286,-0.004614610637462857,0.029687227114946202,0.026422781853387492,0.03479421984895695,1.00004191781,1.00004191781,1.00004191781,-0.02034068881162982,-0.02325182623120181,1,-0.010139362,0.0068986667
2019-12-26,7412.073583984375,-0.023354704341227106,-0.02289678711030935,-0.020434943677051752,-0.020641339847541275,0.027729487257669036,0.0295664140678684,0.026545219975848716,1.00004191781,1.00004191781,1.00004191781,-0.022703157443854417,-0.01211375249921332,1,-0.011721508,-0.00874797
2019-12-27,7379.876403808594,-0.012166602797847143,-0.02345659705358182,-0.022795926138183834,-0.02051844409096129,0.029382754958889694,0.02760733810949919,0.029687227114946202,1.00004136986,1.00004191781,1.00004191781,-0.02325182623120181,-0.005027695579496153,1,-0.010961757,-0.010139362
2019-12-28,7355.094006347656,-0.00504463599522111,-0.012207597187045349,-0.023354704341227106,-0.02289678711030935,0.03637136381521801,0.02925511971016303,0.027729487257669036,1.00004136986,1.00004136986,1.00004191781,-0.01211375249921332,0.011848406356589835,1,0.0043711057,-0.011721508
2019-12-29,7335.506689453125,0.011880044047048953,-0.005058106214530981,-0.012166602797847143,-0.02345659705358182,0.036215276087466185,0.03624922496831267,0.029382754958889694,1.00004136986,1.00004136986,1.00004136986,-0.005027695579496153,-0.003292853453447998,1,0.009006779,-0.010961757
2019-12-30,7317.149865722657,-0.0033011143653500995,0.011909847984167075,-0.00504463599522111,-0.012207597187045349,0.034989634584273274,0.03611883135290046,0.03637136381521801,1.0000430137,1.00004136986,1.00004136986,0.011848406356589835,-0.015350508697713688,1,0.021838777,0.0043711057
2019-12-31,7305.92109375,-0.015374101528736509,-0.003306187984403539,0.011880044047048953,-0.005058106214530981,0.0347465017405082,0.03490207436769267,0.036215276087466185,1.00004356164,1.0000430137,1.00004136986,-0.003292853453447998,-0.014144239037065342,1,0.009720846,0.009006779
2020-01-01,7303.511010742188,-0.01414890648948809,-0.015379174823046642,-0.0033011143653500995,0.011909847984167075,0.03510262387814861,0.03469318035826901,0.034989634584273274,1.00004356164,1.00004356164,1.0000430137,-0.015350508697713688,-0.04213488949929845,1,-0.0039253393,0.021838777
2020-01-02,7293.202844238282,-0.04219444268407317,-0.01416890446391123,-0.015374101528736509,-0.003306187984403539,0.029107499754748932,0.03509104419692118,0.0347465017405082,1.00004273973,1.00004356164,1.00004356164,-0.014144239037065342,0.006068287407023937,1,-0.0076743634,0.009720846
2020-01-03,7300.627026367188,0.00606211642051037,-0.0421515341467403,-0.01414890648948809,-0.015379174823046642,0.031960583544028386,0.029066417465211332,0.03510262387814861,1.00004246575,1.00004273973,1.00004356164,-0.04213488949929845,0.014165446037729493,1,-0.025935557,-0.0039253393
2020-01-04,7307.240100097656,0.014152626267503082,0.006056630187363195,-0.04219444268407317,-0.01416890446391123,0.04600434574409392,0.03199311811056172,0.029107499754748932,1.00004246575,1.00004246575,1.00004273973,0.006068287407023937,0.013582915591750592,1,0.023361232,-0.0076743634
2020-01-05,7312.063757324218,0.013573955148963656,0.014143289995250026,0.00606211642051037,-0.0421515341467403,0.048180679448687,0.04604601752505587,0.031960583544028386,1.00004246575,1.00004246575,1.00004246575,0.014165446037729493,0.06170851408448152,1,0.036761682,-0.025935557
2020-01-06,7318.002648925782,0.06165843482192549,0.01356293926770458,0.014152626267503082,0.006056630187363195,0.03632924347725203,0.0482124844912776,0.04600434574409392,1.00004219178,1.00004246575,1.00004246575,0.013582915591750592,0.11316955089702743,1,0.018686332,0.023361232
2020-01-07,7335.517309570312,0.11289934142227515,0.061511215952934475,0.013573955148963656,0.014143289995250026,0.039414098256273594,0.03635875025483751,0.048180679448687,1.00004191781,1.00004219178,1.00004246575,0.06170851408448152,0.10038555889195318,1,0.07597508,0.036761682
