,trend_follower_plus_bias,trend_follower_plus_bias_plus_fundamentalists,trend_follower_plus_bias_plus_rational
g,1.91,2.86,1.92
tstatg,(121.66),(121.51),(84.14)
b,0.58,0.87,0.83
tstatb,(6.5),(6.52),(6.41)
beta,1.03,0.51,1.45
tstat_beta,(2.12),(2.14),(2.05)
adj_r2,0.94,0.94,0.94
F,4.61,4.74,4.34
p,(0.03),(0.03),(0.04)
het,0.17,0.17,0.11
